start_node,end_node,edge_id,start_long,start_lat,end_long,end_lat
332248213,629161529,332248213->629161529,114.1672201,22.3109799,114.1671341,22.3114437
332248214,6702444348,332248214->6702444348,114.167026,22.3119571,114.1669716,22.3122647
332248685,332248700,332248685->332248700,114.166805,22.3125831,114.1667883,22.3131619
332248686,5118308275,332248686->5118308275,114.1668809,22.3117177,114.1668373,22.3121208
332248687,332248686,332248687->332248686,114.1670235,22.31096,114.1668809,22.3117177
332248700,12041326667,332248700->12041326667,114.1667883,22.3131619,114.1667103,22.3138832
332248821,13108528111,332248821->13108528111,114.1674797,22.310252,114.1675216,22.3101217
332248875,13108528112,332248875->13108528112,114.1674198,22.3105056,114.167451,22.3103466
332250570,10786928832,332250570->10786928832,114.168755,22.3253372,114.1687678,22.3252788
332251015,3230283954,332251015->3230283954,114.1713052,22.3211733,114.1711724,22.3211492
332251015,1168183637,332251015->1168183637,114.1713052,22.3211733,114.1712842,22.3212697
332251063,5103661127,332251063->5103661127,114.1659059,22.3202649,114.1659664,22.3202542
332251063,5103661126,332251063->5103661126,114.1659059,22.3202649,114.165916,22.3202174
332251094,11181151128,332251094->11181151128,114.1656889,22.3214639,114.165789,22.3214816
332251094,4860492620,332251094->4860492620,114.1656889,22.3214639,114.1657024,22.3213879
332251253,332251620,332251253->332251620,114.1666323,22.3216322,114.1670898,22.3217144
332251253,13313807740,332251253->13313807740,114.1666323,22.3216322,114.1668559,22.3205935
332251253,332242753,332251253->332242753,114.1666323,22.3216322,114.1664288,22.3226105
332251254,12417054495,332251254->12417054495,114.1675743,22.3218014,114.1676821,22.3218208
332251254,12417054498,332251254->12417054498,114.1675743,22.3218014,114.1675888,22.3217252
332251255,9067018573,332251255->9067018573,114.168869,22.3220632,114.1689433,22.3216744
332251256,12052372091,332251256->12052372091,114.169416,22.3221336,114.1693416,22.3221209
332251256,12052372090,332251256->12052372090,114.169416,22.3221336,114.1694265,22.3220657
332251257,12052372100,332251257->12052372100,114.1699647,22.3222321,114.1698928,22.3222197
332251257,12041470016,332251257->12041470016,114.1699647,22.3222321,114.1699505,22.3223023
332251373,1182677910,332251373->1182677910,114.1668995,22.320422,114.1672278,22.3204815
332251374,3230283899,332251374->3230283899,114.1678065,22.320638,114.1679124,22.320646
332251374,13313807748,332251374->13313807748,114.1678065,22.320638,114.1678273,22.320543
332251375,13202862428,332251375->13202862428,114.1691048,22.3208406,114.1691891,22.320855
332251375,9067018571,332251375->9067018571,114.1691048,22.3208406,114.1691305,22.3207377
332251376,7207625692,332251376->7207625692,114.169706,22.3209752,114.1697806,22.3209996
332251377,3696264071,332251377->3696264071,114.1701882,22.3210727,114.1702906,22.321091
332251377,10198945171,332251377->10198945171,114.1701882,22.3210727,114.1701715,22.321158
332251377,10181839356,332251377->10181839356,114.1701882,22.3210727,114.1702134,22.3210292
332251378,3691165231,332251378->3691165231,114.1707938,22.3211811,114.170945,22.3212082
332251484,10203538055,332251484->10203538055,114.1681657,22.3219077,114.168183,22.3218256
332251484,1442088610,332251484->1442088610,114.1681657,22.3219077,114.168447,22.3219582
332251500,9135398607,332251500->9135398607,114.1684146,22.3207303,114.1684757,22.3207393
332251605,13313807745,332251605->13313807745,114.1673695,22.320508,114.1675753,22.3205013
332251605,13313807744,332251605->13313807744,114.1673695,22.320508,114.1675629,22.3206138
332251620,6236308350,332251620->6236308350,114.1670898,22.3217144,114.1674389,22.3217771
332251664,332251373,332251664->332251373,114.1667166,22.3203881,114.1668995,22.320422
332251664,12073098681,332251664->12073098681,114.1667166,22.3203881,114.1666066,22.320232
332251667,3230280305,332251667->3230280305,114.1667907,22.3188396,114.1668107,22.318742
332251667,5133880779,332251667->5133880779,114.1667907,22.3188396,114.1665106,22.3187874
332251682,8532419888,332251682->8532419888,114.1673207,22.31837,114.1672303,22.3187994
332251683,12071355343,332251683->12071355343,114.1669092,22.3182949,114.167275,22.3183616
332251828,11134374487,332251828->11134374487,114.1678871,22.318026,114.1677693,22.318588
332252247,332243002,332252247->332243002,114.16656,22.3169347,114.166628,22.3165397
332252247,1182950283,332252247->1182950283,114.16656,22.3169347,114.1663805,22.3169072
332252662,8532419885,332252662->8532419885,114.1671528,22.3178929,114.1664825,22.3177699
332253240,1168315922,332253240->1168315922,114.1667412,22.3158769,114.1668237,22.3153246
332253240,8438621459,332253240->8438621459,114.1667412,22.3158769,114.1668611,22.3158097
332253310,3230275941,332253310->3230275941,114.1677705,22.3161776,114.1677585,22.3162327
332253310,3230275928,332253310->3230275928,114.1677705,22.3161776,114.1681797,22.3162529
332253311,3230276002,332253311->3230276002,114.1682467,22.3162647,114.1682344,22.3163125
332253311,3230275952,332253311->3230275952,114.1682467,22.3162647,114.1683022,22.3162745
332253312,3230275924,332253312->3230275924,114.1686954,22.3163435,114.1687108,22.3162701
332253312,3230276003,332253312->3230276003,114.1686954,22.3163435,114.1687723,22.3163543
332253313,3230276216,332253313->3230276216,114.1692776,22.3164444,114.1692627,22.3165187
