u,v,edge_osmid,highway,lanes,name,oneway,reversed,length,junction,bridge,maxspeed,ref,service,access,area,tunnel,geometry,_record_type,number_of_accident,have_accident,lanes_diff,angle,slope
278948608,1184307108,37517344,service,1.0,,True,False,6.458379129134864,,,,,,,,,"LINESTRING (114.1725113 22.3205309, 114.1724829 22.3205827)",edge,0,False,0.0,,1.8973820327098825
278948608,12444062006,376393932,unclassified,1.0,聯運街 Luen Wan Street,True,False,11.588642311829124,,,,,,,,,"LINESTRING (114.1725113 22.3205309, 114.172504 22.3206349)",edge,18,True,0.0,,4.872509273110586
278948609,5255598058,263355346,unclassified,,聯運街 Luen Wan Street,True,False,8.399520853805273,,,,,,,,,"LINESTRING (114.1719813 22.322028, 114.1719566 22.3221)",edge,18,True,0.0,,2.3441237502519217
278948759,2640738083,102548823,unclassified,1.0,弼街 Bute Street,True,False,3.3786881842645773,,,,,,,,,"LINESTRING (114.1717507 22.3225297, 114.1717185 22.3225237)",edge,70,True,0.0,,2.691320532036849
278948832,278948833,543670951,unclassified,,聯運街 Luen Wan Street,True,False,26.99016853527568,,,,,,,,,"LINESTRING (114.1719391 22.3221478, 114.171873 22.3223827)",edge,18,True,0.0,,12.23110258020206
278948833,5255598053,543670951,unclassified,,聯運街 Luen Wan Street,True,False,13.56146846821172,,,,,,,,,"LINESTRING (114.171873 22.3223827, 114.1718369 22.3225)",edge,18,True,0.0,,4.771621131006276
278948926,6605085116,102548810,service,2.0,,False,False,11.426560243733537,,,,,,,,,"LINESTRING (114.1721353 22.3209703, 114.1721137 22.3210711)",edge,0,False,0.0,,1.1448277078906424
278948926,5012933247,102548810,service,2.0,,False,True,8.12532227574744,,,,,,,,,"LINESTRING (114.1721353 22.3209703, 114.1721516 22.3208988)",edge,0,False,0.0,,-0.2484150304230862
278948927,5255598074,102548817,service,,,True,False,4.268653533566896,,yes,,,,,,,"LINESTRING (114.1718719 22.3222609, 114.1718901 22.3222954)",edge,0,False,0.0,,1.5619628854756655
278948927,12921071424,1395944889,service,1.0,,True,False,12.956532563553797,,yes,,,,,,,"LINESTRING (114.1718719 22.3222609, 114.1718395 22.3223735)",edge,0,False,0.0,,5.69031152677761
278948933,439179847,263354925,service,,,True,False,10.356752463393883,,yes,,,,,,,"LINESTRING (114.1723551 22.3222703, 114.1723465 22.3221775)",edge,0,False,0.0,,-9.640586215255526
278948934,8044314666,863537428,service,,,True,False,4.220849327895145,,yes,,,,,,,"LINESTRING (114.1722278 22.3223208, 114.1722675 22.3223112)",edge,0,False,0.0,,1.344720256560176
278948999,8044314690,1345092643,service,,,True,False,12.357584287991024,,yes,,,,,,,"LINESTRING (114.1722177 22.3217944, 114.1721823 22.3219006)",edge,0,False,0.0,,3.1427483131505394
278949000,13700648920,102548820,service,,,False,False,11.538883814677416,,yes,,,driveway,,,,"LINESTRING (114.1725178 22.3210881, 114.1726296 22.3210966)",edge,0,False,0.0,,3.403799218014774
278949000,12443979187,102548820,service,,,False,True,3.195931118907752,,yes,,,driveway,,,,"LINESTRING (114.1725178 22.3210881, 114.1724869 22.3210911)",edge,0,False,0.0,,-1.0035013168313371
278949001,13700648920,102548820,service,,,False,True,6.420316607236161,,yes,,,driveway,,,,"LINESTRING (114.1726918 22.3211014, 114.1726296 22.3210966)",edge,0,False,0.0,,-0.8759304037546257
279076776,8764628282,26379425,unclassified,2.0,巧翔街 Hau Cheung Street,False,False,7.811449739900824,,,,,,,,,"LINESTRING (114.1659587 22.3119343, 114.1659651 22.3118643)",edge,0,False,0.0,,-0.3718067307263271
279076776,6550920169,704138988,unclassified,2.0,巧翔街 Hau Cheung Street,False,True,10.404269676463253,,,50.0,,,,,,"LINESTRING (114.1659587 22.3119343, 114.1659486 22.3120274)",edge,0,False,0.0,,0.3974195394557434
288991082,9893206659,101515890,tertiary,1.0,海泓道 Hoi Wang Road,True,False,41.017445098753726,,,,,,,,,"LINESTRING (114.1642669 22.3141921, 114.1641829 22.3145527)",edge,38,True,0.0,,13.71962654292986
288991083,13395157688,1460505976,tertiary,1.0,海泓道 Hoi Wang Road,True,False,6.369236823920546,,,,,,,,,"LINESTRING (114.1640578 22.3150609, 114.1640802 22.3151143)",edge,38,True,0.0,,-1.2379436749212884
288991084,6777002698,492424454,tertiary,2.0,海泓道 Hoi Wang Road,True,False,78.73615111550698,,,,,,,,,"LINESTRING (114.1637723 22.3162195, 114.1635976 22.3169089)",edge,38,True,0.0,,-14.044795057720265
288991123,12645795033,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,False,75.76549545986724,,,,,,,,,"LINESTRING (114.1655929 22.3165164, 114.1657153 22.3158445)",edge,1,True,0.0,,-5.678730943579825
288991123,1962192579,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,True,23.839481487055743,,,,,,,,,"LINESTRING (114.1655929 22.3165164, 114.1655422 22.3167256)",edge,1,True,0.0,,17.821979914053184
288991127,1962191597,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,False,7.783457978145446,,,,,,,,,"LINESTRING (114.1660356 22.313462, 114.1660052 22.3133979)",edge,1,True,0.0,,-0.7921269526114021
288991127,1962191716,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,True,18.437988669395104,,,,,,,,,"LINESTRING (114.1660356 22.313462, 114.1660846 22.3136215)",edge,1,True,0.0,,1.087919878347791
288991129,6052460354,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,False,27.134494119200145,,,,,,,,,"LINESTRING (114.1654292 22.3131276, 114.1651716 22.3130751)",edge,1,True,0.0,,1.444533390158092
288991129,13591799743,101515905,unclassified,2.0,海庭道 Hoi Ting Road,False,True,17.79733397498153,,,,,,,,,"LINESTRING (114.1654292 22.3131276, 114.1655976 22.3131643)",edge,1,True,0.0,,-9.665969301758658
288991131,13110621033,1426235500,unclassified,3.0,海庭道 Hoi Ting Road,False,False,8.687995321883053,,,,,,,,,"LINESTRING (114.1639911 22.3128383, 114.1639075 22.3128272)",edge,1,True,0.0,,-2.4731858226666428
288991131,1172166329,1426235500,unclassified,3.0,海庭道 Hoi Ting Road,False,True,22.13412028115135,,,,,,,,,"LINESTRING (114.1639911 22.3128383, 114.1642014 22.3128804)",edge,1,True,-1.0,,10.353866779208774
288991132,5118308285,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,False,5.147827491368348,,,,,,,,,"LINESTRING (114.1637106 22.3128289, 114.1636616 22.3128383)",edge,1,True,0.0,,0.2297697318698082
288991132,5118308284,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,True,12.005464372340263,,,,,,,,,"LINESTRING (114.1637106 22.3128289, 114.1638272 22.3128243)",edge,1,True,0.0,,1.8160034149996256
288991202,1172166326,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,False,6.688219260987992,,,,,,,,,"LINESTRING (114.1625077 22.3151873, 114.1624854 22.3152438)",edge,1,True,0.0,,-1.3309397677841588
288991202,5029495350,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,True,44.68436944365339,,,,,,,,,"LINESTRING (114.1625077 22.3151873, 114.1626518 22.3148082)",edge,1,True,0.0,,12.753111805886329
288991212,1295862825,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,False,19.778579452895745,,,,,,,,,"LINESTRING (114.1621712 22.3161103, 114.1621767 22.3162881)",edge,1,True,0.0,,5.868544610348165
288991212,13110621029,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,True,15.280091938803087,,,,,,,,,"LINESTRING (114.1621712 22.3161103, 114.1621995 22.3159754)",edge,1,True,0.0,,-3.7134474341568553
288991212,1172166356,1365726722,service,,,True,False,24.822937833512295,,,,,driveway,,,,"LINESTRING (114.1621712 22.3161103, 114.1620581 22.3163075)",edge,0,False,0.0,,4.235366166059663
288991213,1295862822,30148986,unclassified,2.0,海庭道 Hoi Ting Road,False,False,15.750995064058198,,,,,,,,,"LINESTRING (114.1622131 22.3164102, 114.1622807 22.3165373)",edge,1,True,0.0,,5.11048485078992
